"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","proj2034.lci","proj2034.mean","proj2034.rci","rangelci","rangemean","rangerci"
"Willow Warbler","Phylloscopus trochilus","wlwwar","Passeriformes","Phylloscopidae (Leaf Warblers)",NA,NA,NA,NA,"24 hour","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Uncertain",NA,1,NA,"Willow Warbler","Phylloscopus trochilus","Willow Warbler","Phylloscopus trochilus","Least Concern","Schedule-II","","Appendix II",NA,"Willow Warbler","Phylloscopus trochilus","avibase-88F4B969",NA,2.91,1,NA,864,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mountain Chiffchaff","Phylloscopus sindianus","mouchi2","Passeriformes","Phylloscopidae (Leaf Warblers)","Moderate","Data Deficient","Data Deficient","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Local Migrant",NA,NA,NA,"Mountain Chiffchaff","Phylloscopus sindianus","Mountain Chiffchaff","Phylloscopus sindianus","Least Concern","Schedule-II","","Appendix II",NA,"Mountain Chiffchaff","Phylloscopus sindianus","avibase-F05BA180",1,2.6,1,0.100634239,865,"","","",100,0.21,0.31375,0.61,6.14,0.784999161294025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Chiffchaff","Phylloscopus collybita","comchi1","Passeriformes","Phylloscopidae (Leaf Warblers)","Low","Stable","Uncertain","Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Winter Migrant",NA,NA,NA,"Common Chiffchaff","Phylloscopus collybita","Siberian Chiffchaff","Phylloscopus tristis","Least Concern","Schedule-II","","Appendix II",NA,"Common Chiffchaff","Phylloscopus collybita","avibase-F9F4B04D",1,2.72,2,0.115179004,866,"","","",239,0.104602510460251,0.26673640167364,0.430962343096234,10.4309623430962,0.722282259639784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1222919,1223567,1224215
"White-spectacled Warbler","Phylloscopus intermedius","whswar1","Passeriformes","Phylloscopidae (Leaf Warblers)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",1,NA,NA,"White-spectacled Warbler","Phylloscopus intermedius","White-spectacled Warbler","Phylloscopus intermedius","Least Concern","Schedule-II","","Appendix II",NA,"White-spectacled Warbler","Phylloscopus intermedius","avibase-1B17E3C3",1,2.48,1,0.332903624,867,"","","",1,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60473,61067,61661
"Gray-cheeked Warbler","Phylloscopus poliogenys","gycwar2","Passeriformes","Phylloscopidae (Leaf Warblers)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Grey-cheeked Warbler","Phylloscopus poliogenys","Grey-cheeked Warbler","Phylloscopus poliogenys","Least Concern","Schedule-II","","Appendix II",NA,"Grey-cheeked Warbler","Phylloscopus poliogenys","avibase-C8AB31F2",1,2.45,1,0.188080224,868,"","","",8,0.25,0.208333333333333,0.25,6.875,2.90331276303467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89715,90174,90633
"Green-crowned Warbler","Phylloscopus burkii","goswar1","Passeriformes","Phylloscopidae (Leaf Warblers)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Summer Migrant & Localized Winter Migrant",1,NA,NA,"Green-crowned Warbler","Phylloscopus burkii","Green-crowned Warbler","Phylloscopus burkii","Least Concern","Schedule-II","","Appendix II",NA,"Green-crowned Warbler","Phylloscopus burkii","avibase-D83BD358",1,2.54,1,0.807413466,869,"","","",4,NA,0.375,0.5,7.75,2.17300866695618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46741,47306,47871
"Gray-crowned Warbler","Phylloscopus tephrocephalus","gycwar1","Passeriformes","Phylloscopidae (Leaf Warblers)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Summer Migrant",NA,NA,NA,"Grey-crowned Warbler","Phylloscopus tephrocephalus","Grey-crowned Warbler","Phylloscopus tephrocephalus","Least Concern","Schedule-II","","Appendix II",NA,"Grey-crowned Warbler","Phylloscopus tephrocephalus","avibase-5ED14FEA",1,2.54,1,0.051039727,870,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whistler's Warbler","Phylloscopus whistleri","whiwar2","Passeriformes","Phylloscopidae (Leaf Warblers)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Local Migrant",NA,NA,NA,"Whistler's Warbler","Phylloscopus whistleri","Whistler's Warbler","Phylloscopus whistleri","Least Concern","Schedule-II","","",NA,"Whistler's Warbler","Phylloscopus whistleri","avibase-6011D298",1,2.54,2,0.553626454,871,"","","",42,0.119047619047619,0.327380952380952,0.547619047619048,9.57142857142857,1.30406244550965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169088,169539,169990
"Bianchi's Warbler","Phylloscopus valentini","biawar1","Passeriformes","Phylloscopidae (Leaf Warblers)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Uncertain",NA,1,NA,"Bianchi's Warbler","Phylloscopus valentini","Bianchi's Warbler","Phylloscopus valentini","Least Concern","Recent addition","","Appendix II",NA,"Bianchi's Warbler","Phylloscopus valentini","avibase-6A26566D",NA,2.54,1,0.00138903,872,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Warbler","Phylloscopus nitidus","grnwar1","Passeriformes","Phylloscopidae (Leaf Warblers)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Winter Migrant",NA,NA,NA,"Green Warbler","Phylloscopus nitidus","Green Warbler","Phylloscopus nitidus","Least Concern","Schedule-II","","Appendix II",NA,"Green Warbler","Phylloscopus nitidus","avibase-3542C46B",1,2.52,1,0.249096323,873,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greenish Warbler","Phylloscopus trochiloides","grewar3","Passeriformes","Phylloscopidae (Leaf Warblers)","Moderate","Moderate Decline","Uncertain","Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Greenish Warbler","Phylloscopus trochiloides","Greenish Warbler","Phylloscopus trochiloides","Least Concern","Schedule-II","","Appendix II",NA,"Greenish Warbler","Phylloscopus trochiloides","avibase-23EF1BD9",1,2.6,3,0.107512768,874,"","","",351,0.0797720797720798,0.308048433048433,0.504273504273504,10.6267806267806,0.631083553068951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1638117,1638522,1638927
"Two-barred Warbler","Phylloscopus plumbeitarsus","grewar2","Passeriformes","Phylloscopidae (Leaf Warblers)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Uncertain",NA,1,NA,"Two-barred Warbler","Phylloscopus plumbeitarsus","Two-barred Warbler","Phylloscopus plumbeitarsus","Least Concern","Schedule-II","","Appendix II",NA,"Two-barred Warbler","Phylloscopus plumbeitarsus","avibase-38C788AE",NA,2.72,1,NA,875,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Large-billed Leaf Warbler","Phylloscopus magnirostris","lblwar1","Passeriformes","Phylloscopidae (Leaf Warblers)","Moderate","Strong Decline","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Within-India Migrant & Winter Migrant",NA,NA,NA,"Large-billed Leaf Warbler","Phylloscopus magnirostris","Large-billed Leaf-warbler","Phylloscopus magnirostris","Least Concern","Schedule-II","","Appendix II",NA,"Large-billed Leaf Warbler","Phylloscopus magnirostris","avibase-C31573A5",1,2.88,1,0.64739981,876,"","","",46,0.239130434782609,0.21195652173913,0.478260869565217,12.1521739130435,1.89154670000359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105867,106046,106225
"Pale-legged Leaf Warbler","Phylloscopus tenellipes","pllwar1","Passeriformes","Phylloscopidae (Leaf Warblers)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Uncertain",NA,1,NA,"Pale-legged Leaf Warbler","Phylloscopus tenellipes","Pale-legged Leaf-warbler","Phylloscopus tenellipes","Least Concern","Schedule-II","","Appendix II",NA,"Pale-legged Leaf Warbler","Phylloscopus tenellipes","avibase-D0FA2385",NA,2.91,1,NA,877,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sakhalin Leaf Warbler","Phylloscopus borealoides","salwar1","Passeriformes","Phylloscopidae (Leaf Warblers)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Winter Migrant",NA,NA,NA,"Sakhalin Leaf Warbler","Phylloscopus borealoides","Sakhalin Leaf-warbler","Phylloscopus borealoides","Least Concern","Schedule-II","","Appendix II",NA,"Sakhalin Leaf Warbler","Phylloscopus borealoides","avibase-21AA0D1D",NA,2.78,1,0.002438045,878,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctic Warbler","Phylloscopus borealis","arcwar1","Passeriformes","Phylloscopidae (Leaf Warblers)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Winter Migrant",NA,NA,NA,"Arctic Warbler","Phylloscopus borealis","Arctic Warbler","Phylloscopus borealis","Least Concern","Schedule-II","","Appendix II",NA,"Arctic Warbler","Phylloscopus borealis","avibase-ECFC7E6C",1,2.63,1,NA,879,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chestnut-crowned Warbler","Phylloscopus castaniceps","chcwar2","Passeriformes","Phylloscopidae (Leaf Warblers)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Chestnut-crowned Warbler","Phylloscopus castaniceps","Chestnut-crowned Warbler","Phylloscopus castaniceps","Least Concern","Schedule-II","","Appendix II",NA,"Chestnut-crowned Warbler","Phylloscopus castaniceps","avibase-F1DD5495",1,2.35,1,0.078384251,880,"","","",11,0.0909090909090909,0.295454545454545,0.636363636363636,8.54545454545454,2.6476643067035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103652,104117,104582
"Yellow-vented Warbler","Phylloscopus cantator","yevwar1","Passeriformes","Phylloscopidae (Leaf Warblers)","Moderate","Data Deficient","Data Deficient","Moderate","Diurnal","Diurnal","Invertebrate","No","No","Yes","Eastern Himalayas","Forest","Resident & Local Migrant",NA,NA,NA,"Yellow-vented Warbler","Phylloscopus cantator","Yellow-vented Warbler","Phylloscopus cantator","Least Concern","Schedule-II","","Appendix II",NA,"Yellow-vented Warbler","Phylloscopus cantator","avibase-758EC511",1,2.44,1,0.319677403,881,"","","",1,NA,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95481,96146,96811
"Western Crowned Warbler","Phylloscopus occipitalis","weclew1","Passeriformes","Phylloscopidae (Leaf Warblers)","Moderate","Strong Decline","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Within-India Migrant",NA,NA,NA,"Western Crowned Warbler","Phylloscopus occipitalis","Western Crowned Leaf-warbler","Phylloscopus occipitalis","Least Concern","Schedule-II","","Appendix II",NA,"Western Crowned Warbler","Phylloscopus occipitalis","avibase-9517BF86",1,2.7,1,0.77993713,882,"","","",96,0.1875,0.315104166666667,0.5,9.98958333333333,1.15609354244121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157063,157570,158077
"Blyth's Leaf Warbler","Phylloscopus reguloides","blylew1","Passeriformes","Phylloscopidae (Leaf Warblers)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Local Migrant",NA,NA,NA,"Blyth's Leaf Warbler","Phylloscopus reguloides","Blyth's Leaf-warbler","Phylloscopus reguloides","Least Concern","Schedule-II","","Appendix II",NA,"Blyth's Leaf Warbler","Phylloscopus reguloides","avibase-1219F329",1,2.51,3,0.222395944,883,"","","",42,0.0476190476190476,0.327380952380952,0.547619047619048,8.69047619047619,1.27174889716979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187804,188345,188886
"Claudia's Leaf Warbler","Phylloscopus claudiae","clalew1","Passeriformes","Phylloscopidae (Leaf Warblers)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Uncertain",NA,1,NA,"Claudia's Leaf Warbler","Phylloscopus claudiae","Claudia's Leaf-warbler","Phylloscopus claudiae","Least Concern","Schedule-II","","Appendix II",NA,"Claudia's Leaf Warbler","Phylloscopus claudiae","avibase-0B7734A6",NA,2.63,1,0.090528234,884,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray-hooded Warbler","Phylloscopus xanthoschistos","gyhwar2","Passeriformes","Phylloscopidae (Leaf Warblers)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","Yes","Himalayas","Forest & Plantation","Resident & Altitudinal Migrant",NA,NA,NA,"Grey-hooded Warbler","Phylloscopus xanthoschistos","Grey-hooded Warbler","Phylloscopus xanthoschistos","Least Concern","Schedule-II","","Appendix II",NA,"Grey-hooded Warbler","Phylloscopus xanthoschistos","avibase-AA897420",1,2.55,5,0.564400614,885,"","","",88,0.204545454545455,0.467329545454545,0.693181818181818,7.86363636363636,0.868245698930555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248234,248498,248762
"Pale-footed Bush Warbler","Hemitesia pallidipes","pfbwar1","Passeriformes","Cettiidae (Bush Warblers and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Local Migrant",1,NA,NA,"Pale-footed Bush Warbler","Hemitesia pallidipes","Pale-footed Bush-warbler","Hemitesia pallidipes","Least Concern","Schedule-II","","Appendix II",NA,"Pale-footed Bush Warbler","Hemitesia pallidipes","avibase-E87512DF",1,2.55,2,0.227061491,886,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2276,3171,4066
"Asian Stubtail","Urosphena squameiceps","asistu1","Passeriformes","Cettiidae (Bush Warblers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Winter Migrant",NA,1,NA,"Asian Stubtail","Urosphena squameiceps","Asian Stubtail","Urosphena squameiceps","Least Concern","Schedule-II","","Appendix II",NA,"Asian Stubtail","Urosphena squameiceps","avibase-1A0CF540",1,2.53,1,NA,887,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray-bellied Tesia","Tesia cyaniventer","gybtes1","Passeriformes","Cettiidae (Bush Warblers and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Altitudinal Migrant",NA,NA,NA,"Grey-bellied Tesia","Tesia cyaniventer","Grey-bellied Tesia","Tesia cyaniventer","Least Concern","Schedule-II","","Appendix II",NA,"Grey-bellied Tesia","Tesia cyaniventer","avibase-FD0F40FE",1,2.48,1,0.117989807,888,"","","",5,NA,0.32,0.8,10,4.76082345818452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130734,131222,131710
"Slaty-bellied Tesia","Tesia olivea","slbtes1","Passeriformes","Cettiidae (Bush Warblers and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Altitudinal Migrant",1,NA,NA,"Slaty-bellied Tesia","Tesia olivea","Slaty-bellied Tesia","Tesia olivea","Least Concern","Schedule-II","","Appendix II",NA,"Slaty-bellied Tesia","Tesia olivea","avibase-CD13049C",1,2.29,1,0.097882808,889,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70851,71280,71709
"Chestnut-crowned Bush Warbler","Cettia major","ccbwar1","Passeriformes","Cettiidae (Bush Warblers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Grassland & Scrub","Altitudinal Migrant",NA,NA,NA,"Chestnut-crowned Bush Warbler","Cettia major","Chestnut-crowned Bush-warbler","Cettia major","Least Concern","Schedule-II","","Appendix II",NA,"Chestnut-crowned Bush Warbler","Cettia major","avibase-B9A707A5",1,2.65,2,0.117693007,890,"","","",4,NA,0.3125,NA,10,5.6011665451642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray-sided Bush Warbler","Cettia brunnifrons","gysbuw1","Passeriformes","Cettiidae (Bush Warblers and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Resident & Altitudinal Migrant",NA,NA,NA,"Grey-sided Bush Warbler","Cettia brunnifrons","Grey-sided Bush-warbler","Cettia brunnifrons","Least Concern","Schedule-II","","Appendix II",NA,"Grey-sided Bush Warbler","Cettia brunnifrons","avibase-5FA90F20",1,2.24,3,0.198643839,891,"","","",29,0.275862068965517,0.271551724137931,0.482758620689655,9.68965517241379,1.72671090772558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115880,116350,116820
"Chestnut-headed Tesia","Cettia castaneocoronata","chhtes1","Passeriformes","Cettiidae (Bush Warblers and Allies)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Altitudinal Migrant",NA,NA,NA,"Chestnut-headed Tesia","Cettia castaneocoronata","Chestnut-headed Tesia","Cettia castaneocoronata","Least Concern","Schedule-II","","Appendix II",NA,"Chestnut-headed Tesia","Cettia castaneocoronata","avibase-1884A2A5",1,2.64,1,0.138601465,892,"","","",36,0.0833333333333333,0.305555555555556,0.388888888888889,9.41666666666667,1.3168354322221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126098,126466,126834
"Cetti's Warbler","Cettia cetti","cetwar1","Passeriformes","Cettiidae (Bush Warblers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Cetti's Warbler","Cettia cetti","Cetti's Warbler","Cettia cetti","Least Concern","Schedule-II","","Appendix II",NA,"Cetti's Warbler","Cettia cetti","avibase-F3E9CE95",1,2.48,1,0.013345969,893,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yellow-bellied Warbler","Abroscopus superciliaris","yebwar1","Passeriformes","Cettiidae (Bush Warblers and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Yellow-bellied Warbler","Abroscopus superciliaris","Yellow-bellied Warbler","Abroscopus superciliaris","Least Concern","Schedule-II","","Appendix II",NA,"Yellow-bellied Warbler","Abroscopus superciliaris","avibase-A8F5D21F",1,2.55,2,0.04782853,894,"","","",2,NA,0.5,NA,6.5,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100332,100868,101404
"Rufous-faced Warbler","Abroscopus albogularis","rufwar1","Passeriformes","Cettiidae (Bush Warblers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",1,NA,NA,"Rufous-faced Warbler","Abroscopus albogularis","Rufous-faced Warbler","Abroscopus albogularis","Least Concern","Schedule-II","","",NA,"Rufous-faced Warbler","Abroscopus albogularis","avibase-684016CB",1,2.37,1,0.040228024,895,"","","",1,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32380,32678,32976
"Black-faced Warbler","Abroscopus schisticeps","blfwar1","Passeriformes","Cettiidae (Bush Warblers and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Black-faced Warbler","Abroscopus schisticeps","Black-faced Warbler","Abroscopus schisticeps","Least Concern","Schedule-II","","Appendix II",NA,"Black-faced Warbler","Abroscopus schisticeps","avibase-0FD03AFF",1,2.81,2,0.174098741,896,"","","",14,NA,0.303571428571429,0.785714285714286,8.28571428571429,2.27340476615345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76588,77013,77438
